date,Sleep Score,Total Sleep Score,REM Sleep Score,Deep Sleep Score,Sleep Efficiency Score,Sleep Tranquility Score,Sleep Latency Score,Sleep Timing Score,Total Bedtime,Total Sleep Time,Awake Time,REM Sleep Time,Light Sleep Time,Deep Sleep Time,Restless Sleep,Sleep Efficiency,Sleep Latency,Sleep Timing,Sleep Timing,Bedtime Start,Bedtime End,Average Resting Heart Rate,Lowest Resting Heart Rate,Average HRV,Temperature Deviation,Respiratory Rate,Activity Score,Stay Active Score,Move Every Hour Score,Meet Daily Targets Score,Training Frequency Score,Training Volume Score,Recovery Time Score,Activity Burn,Total Burn,Target Calories,Steps,Daily Movement,Inactive Time,Rest Time,Low Activity Time,Medium Activity Time,High Activity Time,Non-wear Time,Average MET,Long Periods of Inactivity,Readiness Score,Previous Night Score,Sleep Balance Score,Previous Day Activity Score,Activity Balance Score,Temperature Score,Resting Heart Rate Score,HRV Balance Score,Recovery Index Score
3/8/20,86,80,95,97,88,89,72,97,29340,25500,3840,6210,12840,6450,31,87,270,14550,,2020-03-07T23:02:31-07:00,2020-03-08T07:11:31-07:00,47.26,44,35,-0.55,14.875,57,100,100,1,1,48,100,337,2507,650,6224,6382,125,601,200,13,2,499,1.3125,0,93,86,92,94,96,86,100,86,100
3/9/20,89,93,90,96,99,71,72,100,30480,28740,1740,5940,17370,5430,34,94,270,15060,,2020-03-08T21:09:24-07:00,2020-03-09T05:37:24-07:00,48.69,45,31,-0.07,15.5,57,100,100,1,1,44,100,101,2260,650,1505,1689,158,415,50,7,2,808,1.1875,0,92,94,94,93,98,100,96,86,78
3/10/20,70,54,35,87,79,80,89,100,23220,19380,3840,2400,12810,4170,28,83,1110,11370,,2020-03-09T22:39:22-07:00,2020-03-10T05:06:22-07:00,49.57,45,29,-0.07,15.125,57,100,100,1,1,44,100,199,2354,500,3387,3500,131,448,110,12,2,737,1.25,0,80,46,84,0,98,100,96,85,71
3/11/20,94,96,94,95,100,84,94,100,31380,29670,1710,6150,18990,4530,34,95,1020,16050,,2020-03-10T21:21:32-07:00,2020-03-11T06:04:32-07:00,50.75,46,32,0.08,15.75,56,100,100,1,1,41,100,114,2237,600,1814,1945,111,483,74,5,2,765,1.1875,0,87,100,88,0,98,98,96,86,46
3/12/20,83,74,81,96,100,76,81,100,25380,24090,1290,5310,12900,5880,29,95,450,12690,,2020-03-11T21:58:55-07:00,2020-03-12T05:01:55-07:00,50.98,46,31,0.08,15.75,57,100,100,1,1,46,100,306,2467,500,5307,5784,97,452,133,23,1,734,1.28125,0,84,78,84,0,97,98,88,86,73
3/13/20,88,83,85,96,96,76,94,100,28800,26190,2610,5550,15510,5130,24,91,780,14550,,2020-03-12T21:13:55-07:00,2020-03-13T05:13:55-07:00,50.41,47,23,-0.02,15.625,56,100,100,1,1,41,100,148,2137,600,2764,2705,7,1323,104,6,0,0,1.03125,0,89,91,84,0,99,100,88,81,100
3/14/20,,,,,,,,,,,,,,,,,,,,,,,,,,,55,100,100,1,1,35,100,17,1959,600,249,303,35,1391,13,1,0,0,0.9375,0,,,,,,,,,
3/15/20,89,90,95,97,99,64,86,100,29640,27900,1740,6300,15060,6540,35,94,570,14790,,2020-03-14T21:47:10-07:00,2020-03-15T06:01:10-07:00,53.79,47,31,-0.07,15.875,57,100,100,1,1,45,100,421,2620,500,7512,7870,163,505,200,27,1,544,1.375,0,80,93,86,100,91,100,79,83,16
3/16/20,82,78,85,78,96,71,78,100,27420,25080,2340,5580,15750,3750,39,91,420,13260,,2020-03-15T21:31:53-07:00,2020-03-16T05:08:53-07:00,48.36,45,31,-0.15,15.25,52,63,95,1,1,53,100,470,2819,600,8683,7969,655,455,303,24,3,0,1.46875,1,85,75,84,91,96,100,79,84,100
3/17/20,87,84,81,95,100,73,89,100,27780,26460,1320,5340,16560,4560,40,95,630,14010,,2020-03-16T21:27:43-07:00,2020-03-17T05:10:43-07:00,48.61,45,36,-0.06,15.25,58,100,100,1,1,52,100,229,2407,600,3979,4177,140,449,135,11,1,704,1.25,0,85,88,84,71,94,100,96,87,66
3/18/20,91,90,96,97,97,73,94,100,30120,27840,2280,6510,15270,6060,35,92,780,14970,,2020-03-17T21:43:06-07:00,2020-03-18T06:05:06-07:00,48.19,46,35,-0.22,15.375,58,100,100,1,1,51,100,122,2247,650,1864,2085,119,507,58,11,1,744,1.1875,0,93,98,86,0,95,97,96,88,100
3/19/20,79,78,73,84,88,73,62,100,28680,25080,3600,4800,16260,4020,37,87,1710,14790,,2020-03-18T21:18:39-07:00,2020-03-19T05:16:39-07:00,50.11,46,31,0.03,15.25,59,100,100,1,1,57,100,277,2439,500,4833,4971,149,470,128,21,2,670,1.28125,0,83,68,84,0,96,100,96,88,66
3/20/20,88,95,87,96,76,68,89,100,35400,29010,6390,5670,18300,5040,35,82,1140,17550,,2020-03-19T20:53:28-07:00,2020-03-20T06:43:28-07:00,51.11,45,33,0.31,15.625,58,100,100,1,1,53,100,109,2222,500,1715,1796,98,548,62,10,1,721,1.15625,0,84,91,88,0,96,79,96,89,26
3/21/20,93,100,100,96,97,61,91,100,38340,35070,3270,9390,20400,5280,38,91,1080,19290,,2020-03-20T21:30:22-07:00,2020-03-21T08:09:22-07:00,49.97,44,34,0.23,15.375,56,100,100,1,1,43,100,61,2153,700,1182,1078,115,634,61,1,0,629,1.125,0,96,100,99,0,97,85,88,90,98
